enhancer_name,enhancer_chrom,enhancer_start,enhancer_end,promoter_name,promoter_chrom,promoter_start,promoter_end,label,enhancer_distance_to_promoter
HepG2|chr1:713410-713560,chr1,713410,713560,HepG2|chr1:224179571-224179669,chr1,224179571,224179669,1,223466161
HepG2|chr1:713504-713652,chr1,713504,713652,HepG2|chr1:224179593-224179669,chr1,224179593,224179669,1,223466089
HepG2|chr1:1441080-1441117,chr1,1441080,1441117,HepG2|chr1:1444611-1444761,chr1,1444611,1444761,1,3531
HepG2|chr1:1441080-1441116,chr1,1441080,1441116,HepG2|chr1:1444584-1444699,chr1,1444584,1444699,1,3504
HepG2|chr1:1441081-1441116,chr1,1441081,1441116,HepG2|chr1:1444584-1444699,chr1,1444584,1444699,1,3503
HepG2|chr1:1441084-1441116,chr1,1441084,1441116,HepG2|chr1:1444629-1444776,chr1,1444629,1444776,1,3545
HepG2|chr1:1441091-1441116,chr1,1441091,1441116,HepG2|chr1:1444584-1444691,chr1,1444584,1444691,1,3493
HepG2|chr1:1612236-1612268,chr1,1612236,1612268,HepG2|chr1:200634597-200634722,chr1,200634597,200634722,1,199022361
HepG2|chr1:1612236-1612266,chr1,1612236,1612266,HepG2|chr1:200634577-200634722,chr1,200634577,200634722,1,199022341
HepG2|chr1:1797137-1797157,chr1,1797137,1797157,HepG2|chr1:235321999-235322035,chr1,235321999,235322035,1,233524862
HepG2|chr1:1815587-1815714,chr1,1815587,1815714,HepG2|chr1:235323075-235323119,chr1,235323075,235323119,1,233507488
HepG2|chr1:1815596-1815699,chr1,1815596,1815699,HepG2|chr1:235323075-235323119,chr1,235323075,235323119,1,233507479
HepG2|chr1:3361907-3361969,chr1,3361907,3361969,HepG2|chr1:3370591-3370675,chr1,3370591,3370675,1,8684
HepG2|chr1:8801738-8801874,chr1,8801738,8801874,HepG2|chr1:226252827-226252953,chr1,226252827,226252953,1,217451089
HepG2|chr1:8801850-8801874,chr1,8801850,8801874,HepG2|chr1:226252827-226252953,chr1,226252827,226252953,1,217450977
HepG2|chr1:8933239-8933384,chr1,8933239,8933384,HepG2|chr1:8481219-8481269,chr1,8481219,8481269,1,452020
HepG2|chr1:9212092-9212226,chr1,9212092,9212226,HepG2|chr1:156022645-156022745,chr1,156022645,156022745,1,146810553
HepG2|chr1:9212179-9212226,chr1,9212179,9212226,HepG2|chr1:156022645-156022745,chr1,156022645,156022745,1,146810466
HepG2|chr1:9231879-9231996,chr1,9231879,9231996,HepG2|chr1:228656174-228656230,chr1,228656174,228656230,1,219424295
HepG2|chr1:9231897-9231982,chr1,9231897,9231982,HepG2|chr1:228656169-228656231,chr1,228656169,228656231,1,219424272
HepG2|chr1:10144869-10144922,chr1,10144869,10144922,HepG2|chr1:94345865-94345974,chr1,94345865,94345974,1,84200996
HepG2|chr1:10144895-10145011,chr1,10144895,10145011,HepG2|chr1:94345883-94345915,chr1,94345883,94345915,1,84200988
HepG2|chr1:12503495-12503578,chr1,12503495,12503578,HepG2|chr1:44174051-44174084,chr1,44174051,44174084,1,31670556
HepG2|chr1:12667416-12667545,chr1,12667416,12667545,HepG2|chr1:12678743-12678803,chr1,12678743,12678803,1,11327
HepG2|chr1:12667460-12667550,chr1,12667460,12667550,HepG2|chr1:12678743-12678803,chr1,12678743,12678803,1,11283
HepG2|chr1:12671687-12671776,chr1,12671687,12671776,HepG2|chr1:12677891-12677952,chr1,12677891,12677952,1,6204
HepG2|chr1:12671728-12671878,chr1,12671728,12671878,HepG2|chr1:12677891-12677952,chr1,12677891,12677952,1,6163
HepG2|chr1:15716568-15716628,chr1,15716568,15716628,HepG2|chr1:15939163-15939229,chr1,15939163,15939229,1,222595
HepG2|chr1:15716569-15716628,chr1,15716569,15716628,HepG2|chr1:15939163-15939229,chr1,15939163,15939229,1,222594
HepG2|chr1:16122436-16122462,chr1,16122436,16122462,HepG2|chr1:38467676-38467806,chr1,38467676,38467806,1,22345240
HepG2|chr1:16699963-16700070,chr1,16699963,16700070,HepG2|chr1:16352026-16352069,chr1,16352026,16352069,1,347937
HepG2|chr1:17024195-17024342,chr1,17024195,17024342,HepG2|chr1:6510867-6510920,chr1,6510867,6510920,1,10513328
HepG2|chr1:17026683-17026833,chr1,17026683,17026833,HepG2|chr1:6508384-6508421,chr1,6508384,6508421,1,10518299
HepG2|chr1:17027808-17027937,chr1,17027808,17027937,HepG2|chr1:6507209-6507238,chr1,6507209,6507238,1,10520599
HepG2|chr1:17027901-17027937,chr1,17027901,17027937,HepG2|chr1:6507200-6507255,chr1,6507200,6507255,1,10520701
HepG2|chr1:17196211-17196361,chr1,17196211,17196361,HepG2|chr1:16864537-16864687,chr1,16864537,16864687,1,331674
HepG2|chr1:17197780-17197930,chr1,17197780,17197930,HepG2|chr1:16862926-16863076,chr1,16862926,16863076,1,334854
HepG2|chr1:17198000-17198150,chr1,17198000,17198150,HepG2|chr1:16862660-16862810,chr1,16862660,16862810,1,335340
HepG2|chr1:17198215-17198365,chr1,17198215,17198365,HepG2|chr1:16862452-16862602,chr1,16862452,16862602,1,335763
HepG2|chr1:17198216-17198362,chr1,17198216,17198362,HepG2|chr1:16862446-16862593,chr1,16862446,16862593,1,335770
HepG2|chr1:17198220-17198370,chr1,17198220,17198370,HepG2|chr1:16862401-16862551,chr1,16862401,16862551,1,335819
HepG2|chr1:17198520-17198667,chr1,17198520,17198667,HepG2|chr1:16862336-16862486,chr1,16862336,16862486,1,336184
HepG2|chr1:17198522-17198672,chr1,17198522,17198672,HepG2|chr1:16862400-16862549,chr1,16862400,16862549,1,336122
HepG2|chr1:17198528-17198678,chr1,17198528,17198678,HepG2|chr1:16862395-16862545,chr1,16862395,16862545,1,336133
HepG2|chr1:17198548-17198697,chr1,17198548,17198697,HepG2|chr1:16862318-16862468,chr1,16862318,16862468,1,336230
HepG2|chr1:17198549-17198699,chr1,17198549,17198699,HepG2|chr1:16862336-16862479,chr1,16862336,16862479,1,336213
HepG2|chr1:17223977-17224049,chr1,17223977,17224049,HepG2|chr1:46154048-46154134,chr1,46154048,46154134,1,28930071
HepG2|chr1:17932611-17932680,chr1,17932611,17932680,HepG2|chr1:26561669-26561748,chr1,26561669,26561748,1,8629058
HepG2|chr1:17932614-17932684,chr1,17932614,17932684,HepG2|chr1:26561669-26561748,chr1,26561669,26561748,1,8629055
HepG2|chr1:21443149-21443194,chr1,21443149,21443194,HepG2|chr1:155176366-155176484,chr1,155176366,155176484,1,133733217
HepG2|chr1:21967063-21967213,chr1,21967063,21967213,HepG2|chr1:1282518-1282592,chr1,1282518,1282592,1,20684545
HepG2|chr1:22769484-22769634,chr1,22769484,22769634,HepG2|chr1:22775780-22775919,chr1,22775780,22775919,1,6296
HepG2|chr1:22771177-22771279,chr1,22771177,22771279,HepG2|chr1:22777902-22778052,chr1,22777902,22778052,1,6725
HepG2|chr1:23777503-23777521,chr1,23777503,23777521,HepG2|chr1:108229196-108229315,chr1,108229196,108229315,1,84451693
HepG2|chr1:25566272-25566372,chr1,25566272,25566372,HepG2|chr1:25561671-25561785,chr1,25561671,25561785,1,4601
HepG2|chr1:25566272-25566308,chr1,25566272,25566308,HepG2|chr1:25561671-25561785,chr1,25561671,25561785,1,4601
HepG2|chr1:25566300-25566400,chr1,25566300,25566400,HepG2|chr1:25560216-25560254,chr1,25560216,25560254,1,6084
