enhancer_name,enhancer_chrom,enhancer_start,enhancer_end,promoter_name,promoter_chrom,promoter_start,promoter_end,label,enhancer_distance_to_promoter
H1|chr1:940643-940694,chr1,940643,940694,H1|chr1:939876-939981,chr1,939876,939981,1,767
H1|chr1:940643-940688,chr1,940643,940688,H1|chr1:939876-939981,chr1,939876,939981,1,767
H1|chr1:940649-940701,chr1,940649,940701,H1|chr1:939691-939766,chr1,939691,939766,1,958
H1|chr1:940649-940698,chr1,940649,940698,H1|chr1:939691-939766,chr1,939691,939766,1,958
H1|chr1:940652-940751,chr1,940652,940751,H1|chr1:939705-939821,chr1,939705,939821,1,947
H1|chr1:940715-940819,chr1,940715,940819,H1|chr1:939881-939924,chr1,939881,939924,1,834
H1|chr1:940718-940819,chr1,940718,940819,H1|chr1:939881-939924,chr1,939881,939924,1,837
H1|chr1:940718-940752,chr1,940718,940752,H1|chr1:939705-939821,chr1,939705,939821,1,1013
H1|chr1:940822-940897,chr1,940822,940897,H1|chr1:936562-936637,chr1,936562,936637,1,4260
H1|chr1:973138-973184,chr1,973138,973184,H1|chr1:110950825-110950874,chr1,110950825,110950874,1,109977687
H1|chr1:973138-973182,chr1,973138,973182,H1|chr1:110950825-110950874,chr1,110950825,110950874,1,109977687
H1|chr1:973142-973182,chr1,973142,973182,H1|chr1:110950825-110950874,chr1,110950825,110950874,1,109977683
H1|chr1:1088969-1088992,chr1,1088969,1088992,H1|chr1:1362779-1362847,chr1,1362779,1362847,1,273810
H1|chr1:1193437-1193573,chr1,1193437,1193573,H1|chr1:1188543-1188666,chr1,1188543,1188666,1,4894
H1|chr1:1193619-1193694,chr1,1193619,1193694,H1|chr1:1187426-1187484,chr1,1187426,1187484,1,6193
H1|chr1:2169183-2169247,chr1,2169183,2169247,H1|chr1:900250-900300,chr1,900250,900300,1,1268933
H1|chr1:2172340-2172485,chr1,2172340,2172485,H1|chr1:224302535-224302555,chr1,224302535,224302555,1,222130195
H1|chr1:2172355-2172485,chr1,2172355,2172485,H1|chr1:224302535-224302555,chr1,224302535,224302555,1,222130180
H1|chr1:2172706-2172756,chr1,2172706,2172756,H1|chr1:2046144-2046243,chr1,2046144,2046243,1,126562
H1|chr1:2172706-2172727,chr1,2172706,2172727,H1|chr1:2046144-2046243,chr1,2046144,2046243,1,126562
