enhancer_name,enhancer_chrom,enhancer_start,enhancer_end,promoter_name,promoter_chrom,promoter_start,promoter_end,label,enhancer_distance_to_promoter,counts1,counts0
K562|chr1:661997-662082,chr1,661997,662082,K562|chr1:137550-137615,chr1,137550,137615,1,524447,,
K562|chr1:662071-662132,chr1,662071,662132,K562|chr1:137576-137627,chr1,137576,137627,1,524495,,
K562|chr1:662125-662223,chr1,662125,662223,K562|chr1:137571-137645,chr1,137571,137645,1,524554,,
K562|chr1:662127-662221,chr1,662127,662221,K562|chr1:137534-137621,chr1,137534,137621,1,524593,,
K562|chr1:662128-662236,chr1,662128,662236,K562|chr1:137534-137576,chr1,137534,137576,1,524594,,
K562|chr1:662140-662235,chr1,662140,662235,K562|chr1:137572-137627,chr1,137572,137627,1,524568,,
K562|chr1:662394-662452,chr1,662394,662452,K562|chr1:139505-139597,chr1,139505,139597,1,522889,,
K562|chr1:662667-662733,chr1,662667,662733,K562|chr1:136892-136954,chr1,136892,136954,1,525775,,
K562|chr1:662883-663003,chr1,662883,663003,K562|chr1:137598-137625,chr1,137598,137625,1,525285,,
K562|chr1:662951-663014,chr1,662951,663014,K562|chr1:137572-137659,chr1,137572,137659,1,525379,,
K562|chr1:663254-663322,chr1,663254,663322,K562|chr1:139606-139685,chr1,139606,139685,1,523648,,
K562|chr1:663284-663392,chr1,663284,663392,K562|chr1:139459-139501,chr1,139459,139501,1,523825,,
K562|chr1:663439-663505,chr1,663439,663505,K562|chr1:139425-139464,chr1,139425,139464,1,524014,,
K562|chr1:663607-663669,chr1,663607,663669,K562|chr1:139505-139583,chr1,139505,139583,1,524102,,
K562|chr1:664490-664624,chr1,664490,664624,K562|chr1:139437-139533,chr1,139437,139533,1,525053,,
K562|chr1:664490-664544,chr1,664490,664544,K562|chr1:139437-139533,chr1,139437,139533,1,525053,,
K562|chr1:664514-664543,chr1,664514,664543,K562|chr1:139456-139577,chr1,139456,139577,1,525058,,
K562|chr1:664538-664568,chr1,664538,664568,K562|chr1:139355-139475,chr1,139355,139475,1,525183,,
K562|chr1:770293-770414,chr1,770293,770414,K562|chr1:111992769-111992798,chr1,111992769,111992798,1,111222476,,
K562|chr1:770293-770413,chr1,770293,770413,K562|chr1:111992769-111992798,chr1,111992769,111992798,1,111222476,,
K562|chr1:770298-770421,chr1,770298,770421,K562|chr1:111992769-111992798,chr1,111992769,111992798,1,111222471,,
K562|chr1:792392-792542,chr1,792392,792542,K562|chr1:1713024-1713174,chr1,1713024,1713174,1,920632,,
K562|chr1:1000127-1000217,chr1,1000127,1000217,K562|chr1:17765824-17765872,chr1,17765824,17765872,1,16765697,,
K562|chr1:1000127-1000216,chr1,1000127,1000216,K562|chr1:17765824-17765872,chr1,17765824,17765872,1,16765697,,
K562|chr1:1791147-1791267,chr1,1791147,1791267,K562|chr1:1715496-1715547,chr1,1715496,1715547,1,75651,,
K562|chr1:1808116-1808170,chr1,1808116,1808170,K562|chr1:1708509-1708596,chr1,1708509,1708596,1,99607,,
K562|chr1:1808493-1808643,chr1,1808493,1808643,K562|chr1:149985860-149985915,chr1,149985860,149985915,1,148177367,,
K562|chr1:1808737-1808856,chr1,1808737,1808856,K562|chr1:149985854-149985909,chr1,149985854,149985909,1,148177117,,
K562|chr1:1808737-1808822,chr1,1808737,1808822,K562|chr1:149985818-149985910,chr1,149985818,149985910,1,148177081,,
K562|chr1:1808738-1808822,chr1,1808738,1808822,K562|chr1:149985818-149985915,chr1,149985818,149985915,1,148177080,,
K562|chr1:1808758-1808905,chr1,1808758,1808905,K562|chr1:149985853-149985910,chr1,149985853,149985910,1,148177095,,
K562|chr1:1808760-1808889,chr1,1808760,1808889,K562|chr1:149985853-149985914,chr1,149985853,149985914,1,148177093,,
K562|chr1:1808760-1808866,chr1,1808760,1808866,K562|chr1:149985821-149985915,chr1,149985821,149985915,1,148177061,,
K562|chr1:1812713-1812838,chr1,1812713,1812838,K562|chr1:228617786-228617936,chr1,228617786,228617936,1,226805073,,
K562|chr1:1812713-1812835,chr1,1812713,1812835,K562|chr1:228617951-228617971,chr1,228617951,228617971,1,226805238,,
K562|chr1:1840832-1840975,chr1,1840832,1840975,K562|chr1:1841789-1841939,chr1,1841789,1841939,1,957,,
K562|chr1:1840846-1840975,chr1,1840846,1840975,K562|chr1:1841705-1841855,chr1,1841705,1841855,1,859,,
K562|chr1:1840901-1840971,chr1,1840901,1840971,K562|chr1:1841687-1841798,chr1,1841687,1841798,1,786,,
K562|chr1:1840932-1840976,chr1,1840932,1840976,K562|chr1:1841692-1841798,chr1,1841692,1841798,1,760,,
K562|chr1:2186945-2186974,chr1,2186945,2186974,K562|chr1:228672172-228672217,chr1,228672172,228672217,1,226485227,,
K562|chr1:8855691-8855801,chr1,8855691,8855801,K562|chr1:8935684-8935724,chr1,8935684,8935724,1,79993,,
K562|chr1:8855883-8856033,chr1,8855883,8856033,K562|chr1:8935684-8935724,chr1,8935684,8935724,1,79801,,
K562|chr1:8855929-8856033,chr1,8855929,8856033,K562|chr1:8935684-8935724,chr1,8935684,8935724,1,79755,,
K562|chr1:9675895-9675957,chr1,9675895,9675957,K562|chr1:150535690-150535792,chr1,150535690,150535792,1,140859795,,
K562|chr1:9675895-9675943,chr1,9675895,9675943,K562|chr1:150535690-150535792,chr1,150535690,150535792,1,140859795,,
K562|chr1:9980818-9980907,chr1,9980818,9980907,K562|chr1:9969600-9969660,chr1,9969600,9969660,1,11218,,
K562|chr1:9980818-9980877,chr1,9980818,9980877,K562|chr1:9970805-9970896,chr1,9970805,9970896,1,10013,,
K562|chr1:9980818-9980865,chr1,9980818,9980865,K562|chr1:9969577-9969660,chr1,9969577,9969660,1,11241,,
K562|chr1:9986826-9986976,chr1,9986826,9986976,K562|chr1:9974335-9974364,chr1,9974335,9974364,1,12491,,
K562|chr1:9986882-9987003,chr1,9986882,9987003,K562|chr1:9974335-9974364,chr1,9974335,9974364,1,12547,,
K562|chr1:10441677-10441797,chr1,10441677,10441797,K562|chr1:10457177-10457206,chr1,10457177,10457206,1,15500,,
K562|chr1:10441679-10441797,chr1,10441679,10441797,K562|chr1:10457177-10457206,chr1,10457177,10457206,1,15498,,
K562|chr1:10442108-10442193,chr1,10442108,10442193,K562|chr1:10454176-10454241,chr1,10454176,10454241,1,12068,,
K562|chr1:10442116-10442266,chr1,10442116,10442266,K562|chr1:10454176-10454241,chr1,10454176,10454241,1,12060,,
