enhancer_name,enhancer_chrom,enhancer_start,enhancer_end,promoter_name,promoter_chrom,promoter_start,promoter_end,label,enhancer_distance_to_promoter
IMR90|chr1:1187194-1187331,chr1,1187194,1187331,IMR90|chr1:1202058-1202123,chr1,1202058,1202123,1,14864
IMR90|chr1:1187961-1187987,chr1,1187961,1187987,IMR90|chr1:1204953-1205100,chr1,1204953,1205100,1,16992
IMR90|chr1:1188678-1188772,chr1,1188678,1188772,IMR90|chr1:1206366-1206422,chr1,1206366,1206422,1,17688
IMR90|chr1:1188684-1188834,chr1,1188684,1188834,IMR90|chr1:1206366-1206422,chr1,1206366,1206422,1,17682
IMR90|chr1:1194281-1194363,chr1,1194281,1194363,IMR90|chr1:1292611-1292677,chr1,1292611,1292677,1,98330
IMR90|chr1:1253491-1253556,chr1,1253491,1253556,IMR90|chr1:26852979-26853022,chr1,26852979,26853022,1,25599488
IMR90|chr1:1793438-1793564,chr1,1793438,1793564,IMR90|chr1:224372297-224372406,chr1,224372297,224372406,1,222578859
IMR90|chr1:1797045-1797195,chr1,1797045,1797195,IMR90|chr1:1843065-1843117,chr1,1843065,1843117,1,46020
IMR90|chr1:1798258-1798346,chr1,1798258,1798346,IMR90|chr1:1311281-1311334,chr1,1311281,1311334,1,486977
IMR90|chr1:1798258-1798345,chr1,1798258,1798345,IMR90|chr1:1311281-1311334,chr1,1311281,1311334,1,486977
IMR90|chr1:1799670-1799755,chr1,1799670,1799755,IMR90|chr1:1311281-1311334,chr1,1311281,1311334,1,488389
IMR90|chr1:1800452-1800569,chr1,1800452,1800569,IMR90|chr1:1844308-1844341,chr1,1844308,1844341,1,43856
IMR90|chr1:1803682-1803762,chr1,1803682,1803762,IMR90|chr1:1709363-1709384,chr1,1709363,1709384,1,94319
IMR90|chr1:1805397-1805430,chr1,1805397,1805430,IMR90|chr1:1715650-1715774,chr1,1715650,1715774,1,89747
IMR90|chr1:2170690-2170840,chr1,2170690,2170840,IMR90|chr1:2323674-2323720,chr1,2323674,2323720,1,152984
IMR90|chr1:2170690-2170784,chr1,2170690,2170784,IMR90|chr1:2323674-2323720,chr1,2323674,2323720,1,152984
IMR90|chr1:2171814-2171845,chr1,2171814,2171845,IMR90|chr1:36788493-36788575,chr1,36788493,36788575,1,34616679
IMR90|chr1:2174026-2174099,chr1,2174026,2174099,IMR90|chr1:2322239-2322287,chr1,2322239,2322287,1,148213
IMR90|chr1:2174026-2174098,chr1,2174026,2174098,IMR90|chr1:2322239-2322287,chr1,2322239,2322287,1,148213
IMR90|chr1:2175041-2175150,chr1,2175041,2175150,IMR90|chr1:24974523-24974583,chr1,24974523,24974583,1,22799482
IMR90|chr1:2175041-2175097,chr1,2175041,2175097,IMR90|chr1:24974523-24974583,chr1,24974523,24974583,1,22799482
IMR90|chr1:2175063-2175150,chr1,2175063,2175150,IMR90|chr1:24974523-24974583,chr1,24974523,24974583,1,22799460
IMR90|chr1:2178405-2178482,chr1,2178405,2178482,IMR90|chr1:38455059-38455132,chr1,38455059,38455132,1,36276654
IMR90|chr1:2178406-2178487,chr1,2178406,2178487,IMR90|chr1:38455059-38455132,chr1,38455059,38455132,1,36276653
IMR90|chr1:2184086-2184107,chr1,2184086,2184107,IMR90|chr1:85932324-85932432,chr1,85932324,85932432,1,83748238
IMR90|chr1:2187165-2187233,chr1,2187165,2187233,IMR90|chr1:2325080-2325149,chr1,2325080,2325149,1,137915
IMR90|chr1:6925495-6925525,chr1,6925495,6925525,IMR90|chr1:8936517-8936568,chr1,8936517,8936568,1,2011022
IMR90|chr1:8457779-8457808,chr1,8457779,8457808,IMR90|chr1:8083827-8083927,chr1,8083827,8083927,1,373952
IMR90|chr1:8468698-8468745,chr1,8468698,8468745,IMR90|chr1:8084794-8084894,chr1,8084794,8084894,1,383904
IMR90|chr1:8468702-8468739,chr1,8468702,8468739,IMR90|chr1:8084836-8084896,chr1,8084836,8084896,1,383866
IMR90|chr1:8538513-8538551,chr1,8538513,8538551,IMR90|chr1:27324345-27324363,chr1,27324345,27324363,1,18785832
IMR90|chr1:8931685-8931764,chr1,8931685,8931764,IMR90|chr1:39736176-39736247,chr1,39736176,39736247,1,30804491
IMR90|chr1:8931688-8931764,chr1,8931688,8931764,IMR90|chr1:39736176-39736247,chr1,39736176,39736247,1,30804488
IMR90|chr1:8931705-8931764,chr1,8931705,8931764,IMR90|chr1:39736176-39736247,chr1,39736176,39736247,1,30804471
IMR90|chr1:9205307-9205377,chr1,9205307,9205377,IMR90|chr1:9194007-9194036,chr1,9194007,9194036,1,11300
IMR90|chr1:9205735-9205872,chr1,9205735,9205872,IMR90|chr1:9192620-9192731,chr1,9192620,9192731,1,13115
IMR90|chr1:9205830-9205869,chr1,9205830,9205869,IMR90|chr1:9192620-9192731,chr1,9192620,9192731,1,13210
IMR90|chr1:9206014-9206068,chr1,9206014,9206068,IMR90|chr1:9191845-9191901,chr1,9191845,9191901,1,14169
IMR90|chr1:9206014-9206067,chr1,9206014,9206067,IMR90|chr1:9191845-9191901,chr1,9191845,9191901,1,14169
IMR90|chr1:9206510-9206568,chr1,9206510,9206568,IMR90|chr1:9190714-9190814,chr1,9190714,9190814,1,15796
IMR90|chr1:9209035-9209138,chr1,9209035,9209138,IMR90|chr1:24972876-24972912,chr1,24972876,24972912,1,15763841
IMR90|chr1:9209051-9209140,chr1,9209051,9209140,IMR90|chr1:24972863-24972910,chr1,24972863,24972910,1,15763812
IMR90|chr1:9209071-9209143,chr1,9209071,9209143,IMR90|chr1:24972872-24972910,chr1,24972872,24972910,1,15763801
IMR90|chr1:9210443-9210534,chr1,9210443,9210534,IMR90|chr1:151139498-151139526,chr1,151139498,151139526,1,141929055
IMR90|chr1:9210463-9210535,chr1,9210463,9210535,IMR90|chr1:151139498-151139526,chr1,151139498,151139526,1,141929035
IMR90|chr1:9219080-9219209,chr1,9219080,9219209,IMR90|chr1:78245486-78245585,chr1,78245486,78245585,1,69026406
IMR90|chr1:9219080-9219208,chr1,9219080,9219208,IMR90|chr1:78245486-78245585,chr1,78245486,78245585,1,69026406
IMR90|chr1:9219158-9219209,chr1,9219158,9219209,IMR90|chr1:78245486-78245585,chr1,78245486,78245585,1,69026328
IMR90|chr1:9222336-9222407,chr1,9222336,9222407,IMR90|chr1:9193785-9193860,chr1,9193785,9193860,1,28551
IMR90|chr1:9240589-9240651,chr1,9240589,9240651,IMR90|chr1:29507193-29507231,chr1,29507193,29507231,1,20266604
IMR90|chr1:9248169-9248205,chr1,9248169,9248205,IMR90|chr1:9296989-9297086,chr1,9296989,9297086,1,48820
IMR90|chr1:9250142-9250192,chr1,9250142,9250192,IMR90|chr1:7834703-7834748,chr1,7834703,7834748,1,1415439
IMR90|chr1:9250143-9250192,chr1,9250143,9250192,IMR90|chr1:7834703-7834748,chr1,7834703,7834748,1,1415440
IMR90|chr1:9251834-9251895,chr1,9251834,9251895,IMR90|chr1:12037560-12037643,chr1,12037560,12037643,1,2785726
IMR90|chr1:9251834-9251890,chr1,9251834,9251890,IMR90|chr1:12037560-12037643,chr1,12037560,12037643,1,2785726
IMR90|chr1:9254982-9255123,chr1,9254982,9255123,IMR90|chr1:7832457-7832479,chr1,7832457,7832479,1,1422525
IMR90|chr1:9254982-9255110,chr1,9254982,9255110,IMR90|chr1:7832457-7832479,chr1,7832457,7832479,1,1422525
IMR90|chr1:9255495-9255643,chr1,9255495,9255643,IMR90|chr1:29506951-29506994,chr1,29506951,29506994,1,20251456
IMR90|chr1:9255571-9255659,chr1,9255571,9255659,IMR90|chr1:29506951-29506994,chr1,29506951,29506994,1,20251380
IMR90|chr1:9257428-9257490,chr1,9257428,9257490,IMR90|chr1:1820996-1821054,chr1,1820996,1821054,1,7436432
IMR90|chr1:9257428-9257489,chr1,9257428,9257489,IMR90|chr1:1820995-1821055,chr1,1820995,1821055,1,7436433
IMR90|chr1:9259375-9259440,chr1,9259375,9259440,IMR90|chr1:9296188-9296256,chr1,9296188,9296256,1,36813
IMR90|chr1:9259375-9259430,chr1,9259375,9259430,IMR90|chr1:9296188-9296256,chr1,9296188,9296256,1,36813
